GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "06001","Alameda, CA",8,CAEMP25N,300,"22","   Utilities","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1498,1610,1419,1448,1542,1641
 "06001","Alameda, CA",8,CAEMP25N,400,"23","   Construction","Number of jobs",51497,48984,51164,53477,56333,56208,56317,52710,45150,41912,42135,45474,48054,49794,52903,55952,58880
 "06001","Alameda, CA",8,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",93998,84449,80262,81210,79433,79217,77611,77528,69520,64624,66635,67522,67262,71238,76744,80033,85334
 "06001","Alameda, CA",8,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",50971,47633,46726,46079,45980,45919,46033,45358,42387,40795,40934,41958,42960,45014,46351,44570,44799
 "06001","Alameda, CA",8,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",85151,84602,84568,83297,83889,84008,85177,82043,76028,74550,75600,76902,80667,82729,85205,85879,86879
 "06001","Alameda, CA",8,CAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),32627,33827,38462,47837,52034,54018
 "06001","Alameda, CA",8,CAEMP25N,900,"51","   Information","Number of jobs",24240,22156,21889,20990,21289,20671,20452,20244,19361,18566,18169,18121,17368,17499,18618,22747,23259
 "06001","Alameda, CA",8,CAEMP25N,1000,"52","   Finance and insurance","Number of jobs",31202,32338,34829,34796,35778,36034,36180,35128,36460,29574,31547,31377,31707,38205,38294,40779,42213
 "06001","Alameda, CA",8,CAEMP25N,1100,"53","   Real estate and rental and leasing","Number of jobs",28406,29438,32261,35197,38859,39845,39382,36997,35574,36606,37156,36620,37220,38516,39077,39644,40635
 "06001","Alameda, CA",8,CAEMP25N,1200,"54","   Professional, scientific, and technical services","Number of jobs",81624,81103,80243,85273,85646,87521,94662,101639,97621,97862,99608,104594,105254,109588,116676,117612,119151
 "06001","Alameda, CA",8,CAEMP25N,1300,"55","   Management of companies and enterprises","Number of jobs",20432,18552,18889,16866,16453,15710,15516,15857,16863,16190,20750,22066,21963,16046,16090,15437,15236
 "06001","Alameda, CA",8,CAEMP25N,1400,"56","   Administrative and support and waste management and remediation services","Number of jobs",54699,51232,51103,51974,50844,53455,54476,52125,46316,48637,48794,50480,54230,57070,59855,61566,62662
 "06001","Alameda, CA",8,CAEMP25N,1500,"61","   Educational services","Number of jobs",15374,16460,18341,19340,20395,21275,21132,22211,23250,23137,23300,24241,25670,28792,29358,29374,29500
 "06001","Alameda, CA",8,CAEMP25N,1600,"62","   Health care and social assistance","Number of jobs",77941,80017,83518,79488,79510,81618,83943,86518,88256,95906,92364,107939,114996,114583,118568,120944,124197
 "06001","Alameda, CA",8,CAEMP25N,1700,"71","   Arts, entertainment, and recreation","Number of jobs",19749,20524,20363,20668,21030,21715,22779,23609,23347,23686,24046,25049,26018,27733,26470,27083,28074
 "06001","Alameda, CA",8,CAEMP25N,1800,"72","   Accommodation and food services","Number of jobs",46832,47670,47707,47578,47694,49917,51563,52715,50445,51076,53237,54777,58447,62191,65132,68075,70332
 "06001","Alameda, CA",8,CAEMP25N,1900,"81","   Other services (except government and government enterprises)","Number of jobs",45198,46892,47255,46739,46813,47597,48565,48029,46930,45797,48060,49424,51024,52913,54507,54841,55917
 "06001","Alameda, CA",8,CAEMP25N,2000,"...","  Government and government enterprises","Number of jobs",118328,123450,121417,121748,119566,119482,118394,113259,112031,110624,108626,109361,112325,115663,118808,120938,121150
 "06001","Alameda, CA",8,CAEMP25N,2001,"...","   Federal civilian","Number of jobs",10915,10882,11145,10862,10642,10555,10379,10178,10032,10599,9846,9705,9406,9374,9233,9237,9162
 "06001","Alameda, CA",8,CAEMP25N,2002,"...","   Military","Number of jobs",3862,3852,3864,3778,3574,3707,3554,3662,3735,3802,3859,4017,4142,3927,3876,3882,3879
 "06001","Alameda, CA",8,CAEMP25N,2010,"...","   State and local","Number of jobs",103551,108716,106408,107108,105350,105220,104461,99419,98264,96223,94921,95639,98777,102362,105699,107819,108109
 "06001","Alameda, CA",8,CAEMP25N,2011,"...","    State government","Number of jobs",38304,40150,39332,38391,37244,36609,35048,29735,29828,30168,30460,31178,31983,33065,33448,33986,33682
 "06001","Alameda, CA",8,CAEMP25N,2012,"...","    Local government","Number of jobs",65247,68566,67076,68717,68106,68611,69413,69684,68436,66055,64461,64461,66794,69297,72251,73833,74427
 "06003","Alpine, CA",8,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",1179,1161,1128,1109,1126,1137,1141,1069,961,970,1046,1014,1059,1303,1333,1328,1214
 "06003","Alpine, CA",8,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",1010,989,969,939,947,954,961,883,799,802,880,842,890,1123,1168,1164,1048
 "06003","Alpine, CA",8,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",169,172,159,170,179,183,180,186,162,168,166,172,169,180,165,164,166
 "06003","Alpine, CA",8,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "06003","Alpine, CA",8,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",169,172,159,170,179,183,180,186,162,168,166,172,169,180,165,164,166
 "06003","Alpine, CA",8,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "06003","Alpine, CA",8,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",1179,1161,1128,1109,1126,1137,1141,1069,961,970,1046,1014,1059,1303,1333,1328,1214
 "06003","Alpine, CA",8,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",991,965,903,854,878,874,859,772,689,706,776,763,793,1038,1057,1046,944
 "06003","Alpine, CA",8,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",7,6,5,(D),8,8,7,7,6,9,7,6,6,9,7,7,7
 "06003","Alpine, CA",8,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "06003","Alpine, CA",8,CAEMP25N,300,"22","   Utilities","Number of jobs",(D),12,17,13,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "06003","Alpine, CA",8,CAEMP25N,400,"23","   Construction","Number of jobs",(D),57,(D),(D),70,64,(D),69,51,43,43,(D),(D),28,(D),20,(D)
 "06003","Alpine, CA",8,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",17,18,(D),13,13,18,16,12,16,17,18,17,10,20,(D),(D),(D)
 "06003","Alpine, CA",8,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",(D),(D),5,6,6,6,7,6,6,(D),(D),19,(D),13,9,1,1
 "06003","Alpine, CA",8,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",92,83,33,30,(D),(D),(D),(D),(D),29,(D),25,32,36,31,33,28
 "06003","Alpine, CA",8,CAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",(D),(D),0,0,0,0,0,0,0,0,0,(D),(D),(D),(D),(D),6
 "06003","Alpine, CA",8,CAEMP25N,900,"51","   Information","Number of jobs",(D),5,4,6,9,7,6,7,7,7,6,5,6,9,(D),(D),(D)
 "06003","Alpine, CA",8,CAEMP25N,1000,"52","   Finance and insurance","Number of jobs",(D),(D),8,11,1,1,0,0,0,(D),0,0,0,0,0,18,19
 "06003","Alpine, CA",8,CAEMP25N,1100,"53","   Real estate and rental and leasing","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),37,57,62,61
 "06003","Alpine, CA",8,CAEMP25N,1200,"54","   Professional, scientific, and technical services","Number of jobs",(D),17,14,15,(D),19,(D),(D),(D),(D),(D),(D),(D),91,(D),(D),(D)
 "06003","Alpine, CA",8,CAEMP25N,1300,"55","   Management of companies and enterprises","Number of jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "06003","Alpine, CA",8,CAEMP25N,1400,"56","   Administrative and support and waste management and remediation services","Number of jobs",7,7,(D),(D),11,9,(D),(D),(D),(D),(D),(D),(D),15,(D),(D),(D)
 "06003","Alpine, CA",8,CAEMP25N,1500,"61","   Educational services","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),1,(D),6,6,7,12,8,1,1
 "06003","Alpine, CA",8,CAEMP25N,1600,"62","   Health care and social assistance","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),28,(D),20,(D),52,45,45,45,40
 "06003","Alpine, CA",8,CAEMP25N,1700,"71","   Arts, entertainment, and recreation","Number of jobs",(D),160,(D),(D),(D),154,150,148,139,(D),145,149,140,(D),(D),(D),(D)
 "06003","Alpine, CA",8,CAEMP25N,1800,"72","   Accommodation and food services","Number of jobs",(D),470,(D),434,(D),454,406,354,309,(D),337,294,290,(D),(D),(D),(D)
 "06003","Alpine, CA",8,CAEMP25N,1900,"81","   Other services (except government and government enterprises)","Number of jobs",43,43,(D),46,(D),(D),(D),(D),35,(D),(D),(D),(D),(D),(D),48,44
 "06003","Alpine, CA",8,CAEMP25N,2000,"...","  Government and government enterprises","Number of jobs",188,196,225,255,248,263,282,297,272,264,270,251,266,265,276,282,270
 "06003","Alpine, CA",8,CAEMP25N,2001,"...","   Federal civilian","Number of jobs",16,14,12,12,11,10,11,12,11,9,10,10,11,11,11,8,1
 "06003","Alpine, CA",8,CAEMP25N,2002,"...","   Military","Number of jobs",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 "06003","Alpine, CA",8,CAEMP25N,2010,"...","   State and local","Number of jobs",170,180,211,241,235,251,269,283,259,253,258,239,253,252,263,272,267
 "06003","Alpine, CA",8,CAEMP25N,2011,"...","    State government","Number of jobs",(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0,(D),(D)
 "06003","Alpine, CA",8,CAEMP25N,2012,"...","    Local government","Number of jobs",(D),(D),(D),(D),(D),(D),(D),283,259,253,258,239,253,252,263,(D),(D)
 "06005","Amador, CA",8,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",17033,17956,17652,18292,18662,18704,19360,19626,18582,17845,17471,17130,16939,17285,17565,17575,18111
 "06005","Amador, CA",8,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",12132,13058,12616,12971,13134,13215,13611,14060,13056,12523,12107,11903,11764,11973,12270,12289,12723
 "06005","Amador, CA",8,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",4901,4898,5036,5321,5528,5489,5749,5566,5526,5322,5364,5227,5175,5312,5295,5286,5388
 "06005","Amador, CA",8,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",464,445,417,401,399,389,415,407,401,398,392,384,390,387,390,387,388
 "06005","Amador, CA",8,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",4437,4453,4619,4920,5129,5100,5334,5159,5125,4924,4972,4843,4785,4925,4905,4899,5000
 "06005","Amador, CA",8,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",610,628,603,564,551,517,552,518,531,527,517,483,481,492,493,497,515
 "06005","Amador, CA",8,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",16423,17328,17049,17728,18111,18187,18808,19108,18051,17318,16954,16647,16458,16793,17072,17078,17596
 "06005","Amador, CA",8,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",12324,12760,12212,12496,12818,12911,13228,13362,12394,12060,12217,12254,12225,12537,12630,12399,12747
 "06005","Amador, CA",8,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",(D),316,341,332,305,239,263,275,265,281,287,325,340,339,362,(D),367
